"Stamps on Colnect","List exported on 2022-05-09 17:54:24 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 2 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/4-ATM_Labels


Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Civil War 1865","United States of America","Civil War","Mi:US 5164BA-5165BA, Sn:US 4981a",2015-04-09,,,,,Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾ x 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56195,48612,,,,715546,81.53,Low,Multicolor,,,"Battle,Anniversaries and Jubilees","Se-tenant pair",https://colnect.com/stamps/stamp/715546
"Civil War 1865","United States of America","Civil War","Mi:US 5164BB-5165BB, Sn:US 4981b",2015-04-09,,,,,Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56194,48611,,,,715546,91.42,Low,Multicolor,,,"Battle,Anniversaries and Jubilees","Imperforate se-tenant pair",https://colnect.com/stamps/stamp/715547
"Civil War 1865: Appomattox","United States of America","Civil War","Mi:US 5165BA, Sn:US 4981, Yt:US 4793, WAD:US031.15",2015-04-09,,55,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾ x 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56193,48613,39578,,,,68.49,Medium,Multicolor,,,"Battle,Anniversaries and Jubilees",,https://colnect.com/stamps/stamp/552142
"Lincoln Memorial with cherry blossoms","United States of America","Gifts of Friendship","Mi:US 5166BA, Sn:US 4982, Yt:US 4794, WAD:US032.15",2015-04-10,,38,27,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56192,48610,39577,,,,41.54,High,Multicolor,,,"Trees,Flowers,Monuments,Plants (Flora)","Initial value: 49 c",https://colnect.com/stamps/stamp/552144
"Gifts of Friendship","United States of America","Gifts of Friendship","Mi:US 5166BA-5167BA, Sn:US 4983a",2015-04-10,,76,27,,Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography and Screen printing",,Self-Adhesive,"º - No Face Value",2*FOREVER,56191,48608,,,,715548,84.41,Low,Multicolor,,,"Flowers,Monuments","Se-tenant pair",https://colnect.com/stamps/stamp/715548
"Gifts of Friendship M/S","United States of America","Gifts of Friendship","Mi:US 5166BA-5169BAFB, Sn:US MS4982-4985, Yt:US F4794-4797, Sg:US MS5597, WAD:US035MS.15",2015-04-10,,,,,"Mini Sheet",Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",12*FOREVER,56190,46154,38468,39048,,,67.9,Medium,Multicolor,,,"Trees,Government Buildings,Flowers,Monuments,Towers,Plants (Flora),Joint Issues","Joint issue with Japan  Listed as souvenir sheet by S.Gibbons",https://colnect.com/stamps/stamp/647717
"Gifts of Friendship","United States of America","Gifts of Friendship","Mi:US 5166BB-5167BB, Sn:US 4983b",2015-04-10,,76,27,,Se-tenant,Commemorative,Imperforate,"Offset lithography and Screen printing",,Self-Adhesive,"º - No Face Value",2*FOREVER,56189,48607,,,,715548,87.75,Low,Multicolor,,,"Flowers,Monuments","Imperforate se-tenant pair",https://colnect.com/stamps/stamp/715549
"U.S. Capitol and Cherry Blossoms","United States of America","Gifts of Friendship","Mi:US 5167BA, Sn:US 4983, Yt:US 4795",2015-04-10,,38,27,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56188,48609,39576,,,,42.44,High,Multicolor,,,"Trees,Flowers,Monuments","Initial value: 49 c",https://colnect.com/stamps/stamp/552146
"Japanese Diet and Dogwood Blossoms","United States of America","Gifts of Friendship","Mi:US 5168BA, Sn:US 4984, Yt:US 4796, WAD:US034.15",2015-04-10,,38,27,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56187,48606,39575,,,,71.06,Medium,Multicolor,,,"Trees,Flowers,Monuments,Plants (Flora)","Initial value: 49 c",https://colnect.com/stamps/stamp/552147
"Gifts of Friendship","United States of America","Gifts of Friendship","Mi:US 5168BA-5169BA, Sn:US 4985a",2015-04-10,,76,27,,Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography and Screen printing",,Self-Adhesive,"º - No Face Value",2*FOREVER,56186,48604,,,,715550,86.15,Low,Multicolor,,,"Flowers,Monuments","Se-tenant pair",https://colnect.com/stamps/stamp/715550
"Gifts of Friendship","United States of America","Gifts of Friendship","Mi:US 5168BB-5169BB, Sn:US 4985b",2015-04-10,,76,27,,Se-tenant,Commemorative,Imperforate,"Offset lithography and Screen printing",,Self-Adhesive,"º - No Face Value",2*FOREVER,56185,48603,,,,715550,90.22,Low,Multicolor,,,"Trees,Flowers,Monuments,Towers,Plants (Flora)","Imperforate se-tenant pair",https://colnect.com/stamps/stamp/715551
"Clock Tower and Dogwood Blossoms","United States of America","Gifts of Friendship","Mi:US 5169BA, Sn:US 4985, Yt:US 4797, WAD:US035.15",2015-04-10,,38,27,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56184,48605,39574,,,,69.6,Medium,Multicolor,,,"Trees,Flowers,Monuments,Towers,Plants (Flora),Joint Issues","Initial value: 49 c",https://colnect.com/stamps/stamp/552148
"Special Olympics World Games","United States of America","Special Olympics World Games","Mi:US 5170BA, Sn:US 4986, Yt:US 4808, Sg:US 5598, WAD:US036.15",2015-05-09,,25,40,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56183,48602,39563,39800,,552167,39.05,High,Multicolor,,,"Seals (Emblems)","Initial value: 49 c",https://colnect.com/stamps/stamp/552167
"Special Olympics World Games","United States of America","Special Olympics World Games","Mi:US 5170BB, Sn:US 4986a",2015-05-09,,,,,Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56182,48601,,,,552167,75.33,Medium,Multicolor,,,"Seals (Emblems)","Postwert zum Ausgabezeitpunkt: 49 c",https://colnect.com/stamps/stamp/715601
"Forget-Me-Not - Help Find Missing Children","United States of America","Missing Children","Mi:US 5171BA, Sn:US 4987, Yt:US 4809, Sg:US 5599, WAD:US037.15",2015-05-18,,40,25,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56181,48600,39562,39799,,552159,35.51,High,Multicolor,,,Flowers,"Initial value: 49 c",https://colnect.com/stamps/stamp/552159
"Missing Children","United States of America","Missing Children","Mi:US 5171BB, Sn:US 4987a",2015-05-18,,40,25,,Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56180,48599,,,,552159,90.17,Low,Multicolor,,,Flowers,"Initial value: 49 c",https://colnect.com/stamps/stamp/715602
"Medal of Honor: AirForce 2015","United States of America","Medal of Honor","Mi:US 5172BA, Sn:US 4988, Yt:US 4812, WAD:US040.15",2015-05-25,,25,40,,Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56179,48598,39558,,,,73.47,Medium,Multicolor,,,"Medals and Marks of Honour","For Vietnam War Medal of Honor recipients  Initial value: 49 c",https://colnect.com/stamps/stamp/552156
"Wedding Cake (two ounce)","United States of America",Wedding,"Mi:US 5179, Sn:US 5000, Yt:US 4819, WAD:US051.15",2015-06-01,,24,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Two Ounce",56162,48578,39546,,,440650,58.1,Medium,Multicolor,,,"Flowers,Roses,Food,Weddings,Plants (Flora),Greetings","Dated 2015 in top right corner  Two Ounce - initial value 71 cents",https://colnect.com/stamps/stamp/552173
"Yes I Do","United States of America",Wedding,"Mi:US 5180, Sn:US 5001, Yt:US 4821, WAD:US052.15",2015-06-01,,40,25,,Stamp,Commemorative,"Serpentine Die Cut<i> 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Two Ounce",56161,48577,39544,,,440693,69.66,Medium,Multicolor,,,"Flowers,Roses,Love,Greetings,Hearts","two ounce - initial value 71 cents. Dated 2015",https://colnect.com/stamps/stamp/552174
"Vintage Tulip (two ounce)","United States of America","Vintage Flowers","Mi:US 5181, Sn:US 5002, Yt:US 4820, WAD:US053.15",2015-06-01,,23.5,30,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography and Recess",,Self-Adhesive,"º - No Face Value","Two Ounce",56160,48576,39545,,,,55.53,High,"Red,Black",,,"Flowers,Plants (Flora),Tulips,Greetings,Hearts","two ounce - initial value 71 cents",https://colnect.com/stamps/stamp/552168
"Flannery O’Connor","United States of America","Literary Arts","Mi:US 5182BA, Sn:US 5003, Yt:US 4822, Sg:US 5611, WAD:US055.15",2015-06-05,,40,25,,Stamp,Commemorative,"Serpentine Die Cut<i> 11¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Three Ounce",56159,48575,39543,39786,,552154,57.23,High,Multicolor,,,"Famous People,Authors,Literature,Women,Literary People (Poets and Writers)","three ounce - initial value 93 cents",https://colnect.com/stamps/stamp/552154
